#bytes,#iterations,t_min[usec],t_max[usec],t_typical[usec],t_avg[usec],t_stdev[usec],99% percentile[usec],99.9% percentile[usec]
2,1000,2.35,5.53,2.4,2.41,0.04,2.72,5.53
4,1000,2.35,2.8,2.4,2.41,0.04,2.72,2.8
8,1000,2.36,2.77,2.4,2.41,0.04,2.72,2.77
16,1000,2.37,3.17,2.4,2.41,0.04,2.73,3.17
32,1000,2.36,2.76,2.4,2.41,0.04,2.75,2.76
64,1000,2.37,2.82,2.41,2.42,0.06,2.77,2.82
128,1000,2.41,2.82,2.45,2.46,0.05,2.7,2.82
256,1000,2.44,2.91,2.5,2.54,0.11,2.85,2.91
512,1000,2.5,5.13,2.56,2.6,0.08,2.77,5.13
1024,1000,2.63,4.83,2.67,2.69,0.06,3.01,4.83
2048,1000,2.79,3.23,2.84,2.85,0.05,3.13,3.23
4096,1000,3.02,3.42,3.07,3.11,0.09,3.37,3.42
8192,1000,3.41,4.25,3.56,3.57,0.08,3.83,4.25
16384,1000,4.34,5.96,4.65,4.65,0.12,4.94,5.96
32768,1000,5.92,6.92,6.27,6.26,0.11,6.45,6.92
65536,1000,8.95,9.51,9.29,9.28,0.1,9.48,9.51
131072,1000,14.93,16.59,15.27,15.26,0.1,15.45,16.59
262144,1000,26.99,28.4,27.31,27.3,0.1,27.51,28.4
524288,1000,50.72,53.65,51.13,51.12,0.14,51.32,53.65
1048576,1000,98.59,103.73,98.93,98.93,0.19,99.15,103.73
2097152,1000,194.65,195.49,195.08,195.09,0.15,195.41,195.49
4194304,1000,386.56,388.46,386.9,386.92,0.14,387.22,388.46
8388608,1000,770.09,770.97,770.39,770.42,0.14,770.7,770.97
