#bytes,#iterations,t_min[usec],t_max[usec],t_typical[usec],t_avg[usec],t_stdev[usec],99% percentile[usec],99.9% percentile[usec]
2,1000,1.24,2.46,1.25,1.26,0.01,1.3,2.46
4,1000,1.23,1.28,1.25,1.25,0.01,1.27,1.28
8,1000,1.24,1.46,1.26,1.26,0.01,1.28,1.46
16,1000,1.24,2.34,1.26,1.26,0.01,1.28,2.34
32,1000,1.3,2.35,1.32,1.32,0.01,1.34,2.35
64,1000,1.3,1.45,1.32,1.32,0.01,1.33,1.45
128,1000,1.35,1.55,1.37,1.37,0.01,1.39,1.55
256,1000,1.69,2.38,1.72,1.72,0.01,1.75,2.38
512,1000,1.79,2.85,1.82,1.84,0.04,1.97,2.85
1024,1000,1.94,3,1.97,1.98,0.03,2.13,3
2048,1000,2.13,4.17,2.17,2.2,0.06,2.38,4.17
4096,1000,2.35,3.2,2.4,2.41,0.04,2.6,3.2
8192,1000,2.71,4.21,2.77,2.79,0.05,2.94,4.21
16384,1000,3.59,5.69,3.86,3.87,0.1,4.1,5.69
32768,1000,5.21,5.66,5.45,5.45,0.07,5.62,5.66
65536,1000,8.09,10,8.32,8.32,0.08,8.48,10
131072,1000,13.82,14.31,14.05,14.05,0.07,14.22,14.31
262144,1000,25.39,26.83,25.85,25.85,0.14,26.15,26.83
524288,1000,48.48,50.02,49,49.01,0.18,49.4,50.02
1048576,1000,94.61,95.94,95.21,95.22,0.22,95.77,95.94
2097152,1000,186.76,188.69,187.64,187.66,0.32,188.51,188.69
4194304,1000,371.18,380.57,372.42,372.43,0.4,373.39,380.57
8388608,1000,737.16,740.73,738.81,738.84,0.53,740.11,740.73
